Altium Designer Pick and Place Locations
C:\Users\Johnny-x-9c\Documents\Projects\Einsy-Rambo\board\Einsy_Rambo_Panels\Outputs for Einsy_Rambo_0.3a\Pick Place for Einsy_Rambo_Panel.csv

========================================================================================================================
File Design Information:

Date:       20/06/17
Time:       15:00
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Ref-X(mil)","Ref-Y(mil)"
"Designator6","Comment","BottomLayer","FIDUCIAL-2X3-PANEL","1306.102","1056.102","90","","1306.102","1056.102"
"Designator5","Comment","BottomLayer","FIDUCIAL-2X3-PANEL","5180.000","1060.000","90","","5180.000","1060.000"
"Designator4","Comment","BottomLayer","FIDUCIAL-2X3-PANEL","5180.000","9699.764","90","","5180.000","9699.764"
"Designator4_1","Comment","TopLayer","FIDUCIAL-2X3-PANEL","5180.000","9699.764","90","","5180.000","9699.764"
"Designator5_1","Comment","TopLayer","FIDUCIAL-2X3-PANEL","5180.000","1060.000","90","","5180.000","1060.000"
"Designator6_1","Comment","TopLayer","FIDUCIAL-2X3-PANEL","1306.102","1056.102","90","","1306.102","1056.102"
"R79","10K","TopLayer","R0402","4172.799","2808.850","180","RES SMD 10K OHM 1% 1/16W 0402","4172.850","2808.850"
"U3","LM25011","TopLayer","VSSOP10","4481.536","3573.425","180","REG BUCK","4481.536","3573.425"
"RV27","VRS0402SR55R101N","TopLayer","C0402","4637.850","3863.850","180","Multi-Layer Varistor","4637.850","3863.850"
"R73","1K","TopLayer","R0402","1428.153","3161.850","360","RES SMD 1K OHM 1% 1/16W 0402","1428.102","3161.850"
"R71","10K","TopLayer","R0402","1902.102","3577.051","270","RES SMD 10K OHM 1% 1/16W 0402","1902.102","3577.102"
"R70","10K","TopLayer","R0402","1840.153","3356.102","360","RES SMD 10K OHM 1% 1/16W 0402","1840.102","3356.102"
"R69","1K","TopLayer","R0402","4638.799","3826.850","180","RES SMD 1K OHM 1% 1/16W 0402","4638.850","3826.850"
"R68","10K","TopLayer","R0402","4638.901","3900.850","360","RES SMD 10K OHM 1% 1/16W 0402","4638.850","3900.850"
"R66","100K","TopLayer","R0402","4172.799","2765.850","360","RES 100K OHM 1% 1/16W 0402","4172.748","2765.850"
"R65","4.7k","TopLayer","R0402","1962.051","3636.102","180","RES SMD 4.7K OHM 1% 1/16W 0402","1962.102","3636.102"
"R64","2k37","TopLayer","R0402","1962.051","3595.102","180","RES SMD 2.37K OHM 1% 1/16W 0402","1962.102","3595.102"
"R63","2k37","TopLayer","R0402","1962.153","3553.102","360","RES SMD 2.37K OHM 1% 1/16W 0402","1962.102","3553.102"
"J19","HDR14","TopLayer","HDR2X7_SMT_BOT_ENTRY","2366.102","3479.102","360","CONN RCPT DUAL ENTRY 14POS .100"","2366.102","3479.102"
"D37","BAT54","TopLayer","SOD523_IPC","1948.102","3473.102","360","Diode Schottky 30V 100mA Surface Mount SOD-523","1948.102","3473.102"
"D36","BAT54","TopLayer","SOD523_IPC","1936.102","3414.102","180","Diode Schottky 30V 100mA Surface Mount SOD-523","1936.102","3414.102"
