Altium Designer Pick and Place Locations
C:\Users\Johnny-x-9c\Documents\Projects\Einsy-Rambo\board\Einsy_Rambo_Panels\Outputs for Einsy_Rambo_0.5b\Pick Place for Einsy_Rambo_Panel.txt

========================================================================================================================
File Design Information:

Date:       08/08/17
Time:       06:26
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator    Comment                            Layer       Footprint                   Center-X(mil) Center-Y(mil) Rotation Description                                                                Ref-X(mil) Ref-Y(mil) 
Designator6   Comment                            BottomLayer FIDUCIAL-2X3-PANEL          378.937       128.937       90       ""                                                                         378.937    128.937    
Designator5   Comment                            BottomLayer FIDUCIAL-2X3-PANEL          4252.835      132.835       90       ""                                                                         4252.835   132.835    
Designator4   Comment                            BottomLayer FIDUCIAL-2X3-PANEL          4252.835      8772.598      90       ""                                                                         4252.835   8772.598   
Designator4_1 Comment                            TopLayer    FIDUCIAL-2X3-PANEL          4252.835      8772.598      90       ""                                                                         4252.835   8772.598   
Designator5_1 Comment                            TopLayer    FIDUCIAL-2X3-PANEL          4252.835      132.835       90       ""                                                                         4252.835   132.835    
Designator6_1 Comment                            TopLayer    FIDUCIAL-2X3-PANEL          378.937       128.937       90       ""                                                                         378.937    128.937    
FB23          120R                               TopLayer    FB0603                      3038.937      1740.937      180      "FERRITE BEAD 120 OHM 0603 1LN"                                            3038.937   1740.937   
JP4           SJ_0805                            BottomLayer R0805                       311.937       2109.937      90       "SMD solder jumper"                                                        311.937    2109.937   
JP3           SJ_0805                            BottomLayer R0805                       413.937       2109.937      90       "SMD solder jumper"                                                        413.937    2109.937   
RT1           NTCG104LH104JT1                    TopLayer    R0402                       3776.937      1218.988      90       Resistor                                                                   3776.937   1218.937   
R60           4.7k                               TopLayer    R0402                       3699.886      1238.937      180      "RES SMD 4.7K OHM 1% 1/16W 0402"                                           3699.937   1238.937   
C124          100nF                              TopLayer    C0402                       3013.937      1619.937      90       "CAP CER 0402 100nF 16V 10% X7R"                                           3013.937   1619.937   
C123          100nF                              TopLayer    C0402                       3037.937      1881.937      180      "CAP CER 0402 100nF 16V 10% X7R"                                           3037.937   1881.937   
C122          100nF                              TopLayer    C0402                       1365.685      2992.189      360      "CAP CER 0402 100nF 16V 10% X7R"                                           1365.685   2992.189   
C120          100nF                              TopLayer    C0402                       807.685       2433.189      360      "CAP CER 0402 100nF 16V 10% X7R"                                           807.685    2433.189   
C81           4.7nF                              TopLayer    C0402                       1491.685      2170.685      180      "CAP CER 0402 4.7nF 25V 10% X7R"                                           1491.685   2170.685   
FB21          120R                               TopLayer    FB0603                      1489.685      2210.685      360      "FERRITE BEAD 120 OHM 0603 1LN"                                            1489.685   2210.685   
R59           2k37                               TopLayer    R0402                       3442.937      1850.886      270      "RES SMD 2.37K OHM 1% 1/16W 0402"                                          3442.937   1850.937   
R55           10K                                TopLayer    R0402                       3483.937      1850.886      270      "RES SMD 10K OHM 1% 1/16W 0402"                                            3483.937   1850.937   
R53           2k37                               TopLayer    R0402                       3236.736      1857.685      360      "RES SMD 2.37K OHM 1% 1/16W 0402"                                          3236.685   1857.685   
C79           100nF                              TopLayer    C0402                       3355.685      1828.685      180      "CAP CER 0402 100nF 16V 10% X7R"                                           3355.685   1828.685   
C121          100nF                              TopLayer    C0402                       3248.937      1892.937      360      "CAP CER 0402 100nF 16V 10% X7R"                                           3248.937   1892.937   
C56           100nF                              TopLayer    C0402                       2444.685      1849.685      180      "CAP CER 0402 100nF 16V 10% X7R"                                           2444.685   1849.685   
RV9           120R                               TopLayer    R0402                       2347.736      1786.685      360      "FERRITE BEAD 120 OHM 0402 1LN"                                            2347.685   1786.685   
R81           2k37                               TopLayer    R0402                       1426.634      2062.685      180      "RES SMD 2.37K OHM 1% 1/16W 0402"                                          1426.685   2062.685   
R80           1.8K                               TopLayer    R0402                       1520.634      2062.685      180      "RES SMD 1.8K OHM 1% 1/16W 0402"                                           1520.685   2062.685   
R66           10K                                TopLayer    R0402                       3236.736      1818.685      360      "RES SMD 10K OHM 1% 1/16W 0402"                                            3236.685   1818.685   
U3            LM25011                            TopLayer    VSSOP10                     3554.370      2646.260      180      "REG BUCK"                                                                 3554.370   2646.260   
RV27          VRS0402SR55R101N                   TopLayer    C0402                       3710.685      2936.685      180      "Multi-Layer Varistor"                                                     3710.685   2936.685   
R73           1K                                 TopLayer    R0402                       500.988       2234.685      360      "RES SMD 1K OHM 1% 1/16W 0402"                                             500.937    2234.685   
R71           10K                                TopLayer    R0402                       974.937       2649.886      270      "RES SMD 10K OHM 1% 1/16W 0402"                                            974.937    2649.937   
R70           10K                                TopLayer    R0402                       912.988       2428.937      360      "RES SMD 10K OHM 1% 1/16W 0402"                                            912.937    2428.937   
R69           1K                                 TopLayer    R0402                       3711.634      2899.685      180      "RES SMD 1K OHM 1% 1/16W 0402"                                             3711.685   2899.685   
R68           10K                                TopLayer    R0402                       3711.736      2973.685      360      "RES SMD 10K OHM 1% 1/16W 0402"                                            3711.685   2973.685   
R65           4.7k                               TopLayer    R0402                       1034.886      2708.937      180      "RES SMD 4.7K OHM 1% 1/16W 0402"                                           1034.937   2708.937   
