Altium Designer Pick and Place Locations
D:\Users\Secondary\Documents\Projects\Einsy-Rambo\board\Project Outputs\Assembly\Pick and Place_Einsy Rambo_1.2c.csv

========================================================================================================================
File Design Information:

Date:       18/07/21
Time:       16:03
Revision:   8983dc9707f56157f6ff75689e81a834b75d78c6
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)"
"FB62","120R","TopLayer","FB0603","55.6814","46.2986","360","FERRITE BEAD 120 OHM 0603 1LN","55.6814","46.2986"
"FB38","120R","TopLayer","FB0603","55.7100","49.1500","360","FERRITE BEAD 120 OHM 0603 1LN","55.7100","49.1500"
"FB61","120R","TopLayer","FB0603","55.6814","47.7083","360","FERRITE BEAD 120 OHM 0603 1LN","55.6814","47.7083"
"d","RJ-45","BottomLayer","RJ45_SMT","34.7350","46.2250","90","CONN MOD JACK 8P8C R/A SHIELDED","39.8750","46.2250"
"J19","HDR14","TopLayer","HDR2X7_SMT_BOT_ENTRY","30.1200","58.3700","360","CONN RCPT DUAL ENTRY 14POS .100"","30.1200","58.3700"
"C19","100nF","TopLayer","C0402","48.1600","29.6950","270","CAP CER 0402 100nF 16V 10% X7R","48.1600","29.6950"
"FB58","120R","TopLayer","R0402","27.5913","69.5500","360","FERRITE BEAD 120 OHM 0402 1LN","27.5900","69.5500"
"FB57","120R","TopLayer","R0402","30.9113","69.5500","360","FERRITE BEAD 120 OHM 0402 1LN","30.9100","69.5500"
"FB56","120R","TopLayer","R0402","87.8387","69.1000","180","FERRITE BEAD 120 OHM 0402 1LN","87.8400","69.1000"
"FB55","120R","TopLayer","R0402","39.6500","57.4913","90","FERRITE BEAD 120 OHM 0402 1LN","39.6500","57.4900"
"FB54","120R","TopLayer","R0402","68.9487","49.8800","180","FERRITE BEAD 120 OHM 0402 1LN","68.9500","49.8800"
"FB53","120R","TopLayer","R0402","39.6300","55.4287","270","FERRITE BEAD 120 OHM 0402 1LN","39.6300","55.4300"
"FB52","120R","TopLayer","R0402","39.6300","59.4413","90","FERRITE BEAD 120 OHM 0402 1LN","39.6300","59.4400"
"FB51","120R","TopLayer","R0402","67.0319","49.8800","180","FERRITE BEAD 120 OHM 0402 1LN","67.0332","49.8800"
"FB50","120R","TopLayer","R0402","61.1986","49.8599","360","FERRITE BEAD 120 OHM 0402 1LN","61.1973","49.8599"
"FB49","120R","TopLayer","R0402","52.4797","51.1250","180","FERRITE BEAD 120 OHM 0402 1LN","52.4810","51.1250"
"FB48","120R","TopLayer","R0402","31.7313","35.7200","360","FERRITE BEAD 120 OHM 0402 1LN","31.7300","35.7200"
"FB47","120R","TopLayer","R0402","32.4751","37.2387","270","FERRITE BEAD 120 OHM 0402 1LN","32.4751","37.2400"
"FB46","120R","TopLayer","R0402","59.8713","51.3800","360","FERRITE BEAD 120 OHM 0402 1LN","59.8700","51.3800"
"FB45","120R","TopLayer","R0402","63.1387","49.8800","180","FERRITE BEAD 120 OHM 0402 1LN","63.1400","49.8800"
"FB44","120R","TopLayer","R0402","39.6900","65.2713","90","FERRITE BEAD 120 OHM 0402 1LN","39.6900","65.2700"
"FB43","120R","TopLayer","R0402","39.6700","69.2087","270","FERRITE BEAD 120 OHM 0402 1LN","39.6700","69.2100"
"FB42","120R","TopLayer","R0402","70.3987","40.3956","180","FERRITE BEAD 120 OHM 0402 1LN","70.4000","40.3956"
"FB41","120R","TopLayer","R0402","55.8600","30.9213","90","FERRITE BEAD 120 OHM 0402 1LN","55.8600","30.9200"
"FB40","120R","TopLayer","R0402","70.0850","34.5587","270","FERRITE BEAD 120 OHM 0402 1LN","70.0850","34.5600"
"FB39","120R","TopLayer","R0402","56.4438","41.5087","270","FERRITE BEAD 120 OHM 0402 1LN","56.4438","41.5100"
"U11","LDO 3.3V 250mA","TopLayer","XDFN4_1X1","39.9500","19.2250","90","IC REG LINEAR 3.3V 250MA 4XDFN","39.9500","19.2250"
"U12","SN74LVC125A","TopLayer","PVQFN14_3.5X3.5","43.9250","21.1000","90","IC BUS BUFF TRI-ST QD 14VQFN","43.9250","21.1000"
"U14","74AHCT1G125","TopLayer","SOTFL50P160X60-5L","41.2750","24.2500","360","IC BUS BUFF TRI-ST N-INV  SOT-553","41.2750","24.2500"
"U13","2Mb","TopLayer","USON8_2X3","42.3800","18.0000","360","IC FLASH 2MBIT 104MHZ 8USON","42.6500","17.8000"
"R83","10K","TopLayer","R0402","41.0750","22.1737","270","RES SMD 10K OHM 1% 1/16W 0402","41.0750","22.1750"
"C131","100nF","TopLayer","C0402","45.6250","18.3750","360","CAP CER 0402 100nF 16V 10% X7R","45.6250","18.3750"
"C130","100nF","TopLayer","C0402","40.4250","17.6000","90","CAP CER 0402 100nF 16V 10% X7R","40.4250","17.6000"
"C129","100nF","TopLayer","C0402","41.2750","25.7500","360","CAP CER 0402 100nF 16V 10% X7R","41.2750","25.7500"
"C128","1uF","TopLayer","C0402","38.3250","19.1000","360","CAP CER 0402 1uF 6.3V 10% X5R","38.3250","19.1000"
"C127","1uF","TopLayer","C0402","39.4000","17.6000","90","CAP CER 0402 1uF 6.3V 10% X5R","39.4000","17.6000"
"C126","1uF","TopLayer","C0402","38.3750","17.6000","90","CAP CER 0402 1uF 6.3V 10% X5R","38.3750","17.6000"
"R82","10K","TopLayer","R0402","39.6250","53.4737","270","RES SMD 10K OHM 1% 1/16W 0402","39.6250","53.4750"
