Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

Designator FIDUCIAL-2X3-PANEL   1306.102mil   1056.102mil   1306.102mil   1056.102mil   1306.102mil   1056.102mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL       5180mil       1060mil       5180mil       1060mil       5180mil       1060mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL       5180mil   9699.764mil       5180mil   9699.764mil       5180mil   9699.764mil  B         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL       5180mil   9699.764mil       5180mil   9699.764mil       5180mil   9699.764mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL       5180mil       1060mil       5180mil       1060mil       5180mil       1060mil  T         90.00 Comment        
Designator FIDUCIAL-2X3-PANEL   1306.102mil   1056.102mil   1306.102mil   1056.102mil   1306.102mil   1056.102mil  T         90.00 Comment        
C89        C0603             4922.244mil   1554.134mil   4922.244mil   1554.134mil   4922.244mil   1580.906mil  T        270.00 NP             
C88        C0603             4864.173mil   1554.134mil   4864.173mil   1554.134mil   4864.173mil   1580.906mil  T        270.00 NP             
C87        C0603             4374.016mil   1989.173mil   4374.016mil   1989.173mil   4400.788mil   1989.173mil  T        180.00 NP             
C86        C0603             4132.874mil   2033.465mil   4132.874mil   2033.465mil   4132.874mil   2006.693mil  T         90.00 NP             
C85        C0603              4006.89mil   1987.205mil    4006.89mil   1987.205mil   3980.118mil   1987.205mil  T        360.00 NP             
C84        C0603             4226.378mil   2033.465mil   4226.378mil   2033.465mil   4226.378mil   2006.693mil  T         90.00 NP             
P2         HDR2X5            3146.457mil   3425.394mil   3346.457mil   3475.394mil   3346.457mil   3475.394mil  T        180.00 Header 5X2     
P1         HDR2X5            3148.425mil    3792.52mil   3348.425mil    3842.52mil   3348.425mil    3842.52mil  T        180.00 Header 5X2     
P3         2X5_IDCW          3641.535mil   3702.559mil   3591.535mil   3902.559mil   3591.535mil   3902.559mil  T        270.00 5x2 IDCw       
U3         VSSOP10           4391.536mil   3573.425mil   4391.536mil   3573.425mil   4486.024mil   3534.055mil  T        180.00 LM25011MY/NOPB 
R24        R0603             4534.477mil    3767.02mil    4534.48mil   3767.017mil   4534.477mil   3740.249mil  T         90.00 10K            
R23        R0603             4477.397mil    3767.02mil   4477.394mil   3767.024mil   4477.397mil   3793.792mil  T        270.00 10K            
R11        R0603             4550.847mil   3642.854mil    4550.85mil    3642.85mil   4550.847mil   3616.082mil  T         90.00 10K            
R3         R0402             4560.901mil    3567.85mil    4560.85mil    3567.85mil   4541.952mil    3567.85mil  T        360.00 200K           
L1         XAL50XX-153        4026.85mil    3551.85mil    4026.85mil    3551.85mil    4026.85mil   3617.008mil  T        270.00 XAL5050-153MED 
D9         SMA-SM             4026.98mil    3761.85mil    4026.85mil    3761.85mil    4105.85mil    3761.85mil  T        360.00 SK310A-TP      
C49        C0402               4484.7mil    3672.85mil    4484.85mil    3672.85mil    4503.55mil    3672.85mil  T        180.00 4.7nF          
C45        C0805             4225.149mil    3456.85mil    4224.85mil    3456.85mil   4187.448mil    3456.85mil  T        360.00 10uF           
C40        C0603              4189.85mil    3545.85mil    4189.85mil    3545.85mil    4189.85mil   3519.079mil  T         90.00 100nF          
C35        C0805              4561.85mil   3470.551mil    4561.85mil    3470.85mil    4561.85mil   3508.252mil  T        270.00 1uF            
C30        C1206              4431.85mil    3455.85mil    4431.85mil    3455.85mil   4484.016mil    3455.85mil  T        180.00 4.7uF          
C25        C0603              3861.22mil    3289.37mil    3861.22mil    3289.37mil   3834.449mil    3289.37mil  T        360.00 100nF          
F3         3557              4862.205mil   2316.929mil   4862.205mil   2316.929mil   4795.205mil   2051.929mil  T         90.00 3557-2         
F2         3557               4571.85mil   2315.945mil    4571.85mil   2315.945mil    4638.85mil   2050.945mil  T         90.00 3557-2         
FB1        L1806             4055.118mil   1913.386mil   4055.118mil   1913.386mil    4136.22mil   1913.386mil  T        180.00 BLM41PG600SN1L 
FB2        L1806             4313.976mil   1915.354mil   4313.976mil   1915.354mil   4232.874mil   1915.354mil  T        360.00 BLM41PG600SN1L 
C3         C0603             3589.567mil   1520.669mil   3589.567mil   1520.669mil   3616.339mil   1520.669mil  T        180.00 100nF          
R21        R0603             3761.808mil   2997.044mil   3761.811mil   2997.047mil   3788.579mil   2997.044mil  T        180.00 100K           
R71        R0603             3769.688mil   3049.216mil   3769.685mil   3049.213mil   3742.916mil   3049.216mil  T        360.00 10r            
R70        R0603             3702.753mil   2749.019mil   3702.756mil   2749.016mil   3702.753mil   2722.247mil  T         90.00 1.8K           
LED3       LED2012120        3766.732mil   2794.622mil   3766.732mil   2794.291mil   3766.732mil   2752.953mil  T         90.00 5988110107F    
X12        70543-02          3547.244mil   2346.457mil   3547.244mil   2346.457mil   3547.244mil   2396.457mil  T        270.00 C-GRID-02-70543
X11        70543-03          1732.284mil   3543.307mil   1732.284mil   3543.307mil   1632.284mil   3543.307mil  T        360.00 C-GRID-03-70543
X7         70543-03          2559.055mil   3543.307mil   2559.055mil   3543.307mil   2459.055mil   3543.307mil  T        360.00 C-GRID-03-70543
X5         70543-03          2145.669mil   3543.307mil   2145.669mil   3543.307mil   2045.669mil   3543.307mil  T        360.00 C-GRID-03-70543
R6         R0603             3373.028mil   2334.649mil   3373.025mil   2334.646mil   3346.257mil   2334.649mil  T        360.00 4.7K           
R5         R0603             3373.028mil   2452.753mil   3373.032mil   2452.756mil     3399.8mil   2452.753mil  T        180.00 4.7K           
D5         SOD523            3255.905mil   2649.606mil   3255.905mil   2649.606mil   3283.465mil   2649.606mil  T        360.00 1N4148WT       
D1         SOD523            3330.709mil   2641.732mil   3330.709mil   2641.732mil   3330.709mil   2614.173mil  T        270.00 1N4148WT       
C4         C0402             3244.244mil   2692.913mil   3244.095mil   2692.913mil   3225.394mil   2692.913mil  T        360.00 100nF          
C48        C0402             2701.622mil   1919.291mil   2701.772mil   1919.291mil   2720.472mil   1919.291mil  T        180.00 1uF            
C47        C0402             2704.575mil   2082.677mil   2704.724mil   2082.677mil   2723.425mil   2082.677mil  T        180.00 1uF            
C22        C0402             2779.378mil   1919.291mil   2779.528mil   1919.291mil   2798.228mil   1919.291mil  T        180.00 1uF            
C21        C0402             2779.378mil   2082.677mil   2779.528mil   2082.677mil   2798.228mil   2082.677mil  T        180.00 1uF            
RN3        CAY16             2776.197mil   1853.133mil   2776.575mil   1853.347mil   2823.819mil    1879.92mil  T        180.00 10K            
RN2        CAY16             2776.197mil   1992.897mil   2776.575mil    1993.11mil   2823.819mil   2019.684mil  T        180.00 10K            
C20        C0402             2857.434mil   1918.307mil   2857.284mil   1918.307mil   2838.584mil   1918.307mil  T        360.00 1uF            
C19        C0402             2857.434mil   2081.693mil   2857.284mil   2081.693mil   2838.584mil   2081.693mil  T        360.00 1uF            
RN1        CAY16             2776.197mil   2148.409mil   2776.575mil   2148.622mil   2823.819mil   2175.196mil  T        180.00 10K            
F1         3557              3791.339mil   1630.906mil   3791.339mil   1630.906mil   3858.339mil   1895.906mil  T        270.00 3557-2         
X3         MSTBV4             5117.85mil    3196.85mil    5117.85mil    3196.85mil    5117.85mil    2896.85mil  T         90.00 0395311004     
D4         SOD523            1686.024mil   3188.976mil   1686.024mil   3188.976mil   1686.024mil   3161.417mil  T        270.00 1N4148WT       
D3         SOD523            2271.653mil   2992.126mil   2271.653mil   2992.126mil   2244.094mil   2992.126mil  T        180.00 1N4148WT       
C63        C0402             1631.378mil       3027mil   1631.378mil    3026.85mil   1631.378mil    3008.15mil  T         90.00 4.7nF          
D8         SMA-SM            4351.378mil   2272.508mil   4351.378mil   2272.638mil   4351.378mil   2193.638mil  T        270.00 SMAJ30A        
D2         SMA-SM            3582.677mil   1685.169mil   3582.677mil   1685.039mil   3582.677mil   1764.039mil  T         90.00 SMAJ30A        
C5         C12,5-5           3942.913mil   2291.339mil   3942.913mil   2291.339mil   3844.488mil   2291.339mil  T        360.00 470uF          
L2         C0805             3228.347mil   3062.693mil   3228.347mil   3062.992mil   3228.347mil   3100.394mil  T        270.00 CBC2012T100M   
R37        R0603             3397.635mil   2692.917mil   3397.638mil   2692.913mil   3397.635mil   2666.145mil  T         90.00 4.7K           
D15        SOD523            3252.953mil   2740.157mil   3252.953mil   2740.157mil   3280.512mil   2740.157mil  T        360.00 1N4148WT       
D14        SOD523            3330.709mil   2759.843mil   3330.709mil   2759.843mil   3330.709mil   2787.402mil  T         90.00 1N4148WT       
R32        R0603             3397.635mil   2811.027mil   3397.638mil   2811.024mil   3397.635mil   2784.255mil  T         90.00 4.7K           
D11        SOD523            3330.709mil   2858.268mil   3330.709mil   2858.268mil   3330.709mil   2830.709mil  T        270.00 1N4148WT       
R73        R0603             3362.208mil   3074.806mil   3362.205mil   3074.803mil   3335.436mil   3074.806mil  T        360.00 10K            
D13        SOD523            3255.905mil   2826.772mil   3255.905mil   2826.772mil   3283.465mil   2826.772mil  T        360.00 1N4148WT       
D12        SOD323-R          3330.709mil    2968.85mil   3330.709mil   2968.504mil   3330.709mil   3012.504mil  T         90.00 SZMM3Z4V7T1G   
