Field=Designator~String~Designator~81|Field=Manufacturer 1~String~Manufacturer 1~65|Field=Manufacturer Part Number 1~String~Manufacturer Part Number 1~65|Field=Description~String~Description~81|Field=Comment~String~Comment~81|Field=Footprint~String~Footprint~81|Field=Quantity~Integer~Quantity~65|Field=Supplier 1~String~Supplier 1~65|Field=Supplier Part Number 1~String~Supplier Part Number 1~65|Field=Supplier Unit Price 1~String~Supplier Unit Price 1~65|Field=LibRef~String~LibRef~115|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Mini-Rambo.PrjPcb|ReportField=ProjectFullPath~C:\Users\johnny\Documents\GitHub\Mini-Rambo\board\Mini-Rambo.PrjPcb|ReportField=Title~Bill of Materials For BOM Document [Mini-Rambo.BomDoc]|ReportField=TotalQuantity~204|ReportField=ReportTime~11:11:42 PM|ReportField=ReportDate~7/26/2014|ReportField=ReportDateTime~7/26/2014 11:11:42 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=ProjectBoardRevision~a|ReportField=ProjectBoardVersion~0.3|ReportField=ProjectDesigner~UltiMachine|ReportField=ProjectTitle~Mini-Rambo-SMPS|ReportField=DataSourceFileName~Mini-Rambo.BomDoc|ReportField=DataSourceFullPath~C:\Users\johnny\Documents\GitHub\Mini-Rambo\board\Mini-Rambo.BomDoc
|||PCB|PCB||1|GoldPhoenixPCB||5.383|PCB
C1, C12, C13, C57, C58|AVX|04025A220JAT2A|CAP CER 0402 22pF 50V 5% C0G|22pF|C0402|5|TTI|04025A220JAT2A|0.0043|04025A220JAT2A
C2, C45|Kemet|C0805C106K8PACTU|CAP CER 0805 10uF 10V 10% X5R|10uF|C0805|2|TTI|C0805C106K8PACTU|0.023|C0805C106K8PACTU
C3, C17, C18, C23, C24, C25, C27, C28, C29, C32, C33, C34, C37, C38, C39, C40, C42, C43, C44, C60, C62, C71, C72, C73, C74|Kemet|C0603C104K5RACTU|CAP CER 0603 100nF 50V 10% X7R|100nF|C0603|25|TTI|C0603C104K5RACTU|0.0037|C0603C104K5RACTU
C4, C6, C7, C8, C9, C10, C11, C14, C15, C26, C52, C56, C59, C67, C68, C69, C70|Kemet|GRM155R71C104KA88D|CAP CER 0402 100nF 16V 10% X7R|100nF|C0402|17|TTI|GRM155R71C104KA88D|0.0017|GRM155R71C104KA88D
C5|Nichicon|UPW1H471MHD1TO|CAP ALU 470uF 50V 20%|470uF|C12,5-5|1|TTI|UPW1H471MHD1TO|0.246|UPW1H471MHD1TO
C16, C19, C20, C21, C22, C47, C48, C49|Murata|GRM155R60J105KE19D|CAP CER 0402 1uF 6.3V 10% X5R|1uF|C0402|8|||0.007|GRM155R60J105KE19D
C30|Murata|GRM31CR71H475KA12L|CAP CER 1206 4.7uF 50V 10% X7R|4.7uF|C1206|1|Digikey|490-6521-2-ND|0.194|GRM31CR71H475KA12L
C31, C36, C41, C46|Yageo|CC0603KRX7R7BB224|CAP CER 0603 220nF 10V 10% X7R|220nF|C0603|4|TTI|CC0603KRX7R7BB224|0.0045|CC0603KRX7R7BB224
C35|Murata|GRM21BR71H105KA12L|CAP CER 0805 1uF 50V 10% X7R|1uF|C0805|1|TTI|GRM21BR71H105KA12L|0.043|GRM21BR71H105KA12L
C53, C54|Nichicon|UVZ1H101MPD1TD|CAP ALU 100uF 50V 20% 105C|100uF|C3,5-8|2|TTI|UVZ1H101MPD1TD|0.042|UVZ1H101MPD1TD
C63|Yageo|CC0402KRX7R8BB472|CAP CER 0402 4.7nF 25V 10% X7R|4.7nF|C0402|1|Digikey|311-1039-2-ND|0.00221|CC0402KRX7R8BB472
D1, D3, D4, D5, D11, D13, D14, D15|Fairchild|1N4148WT|DIODE SOD523|1N4148WT|SOD523|8|Digikey|1N4148WT|0.014|1N4148WT
D2, D8|||DIODE TVS 30V SMA|SMAJ30A|SMA-SM|2||||SMAJ30A
D6, D9, D10|||DIODE Schottky 3A SMA|SK310A-TP|SMA-SM|3||||SK310A
D7|Diodes Inc|S3A-13-F|DIODE DO-214AB|S3A-13-F|DO-214AB|1|Arrow|S3A-13-F|0.1103|S3A-13-F
D12|ON Semiconductor|SZMM3Z4V7T1G|Z-Diode|SZMM3Z4V7T1G|SOD323-R|1|Mouser|863-SZMM3Z4V7T1G|0.037|ZENER-DIODE
D16|Rohm|RSB39VTE-17|DIODE TVS|RSB39VTE-17|SOD323-R|1|Digikey|RSB39VTE-17|0.0733|RSB39VTE-17
