Altium Designer Pick and Place Locations
C:\Users\Johnny-x-9c\Documents\Projects\Einsy-Rambo\board\Project Outputs for Einsy_Rambo_0.3a\Einsy Rambo_projectVersion.csv

========================================================================================================================
File Design Information:

Date:       20/06/17
Time:       15:39
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)"
"R79","10K","TopLayer","R0402","75.989","41.345","180","RES SMD 10K OHM 1% 1/16W 0402","75.990","41.345"
"U3","LM25011","TopLayer","VSSOP10","83.831","60.765","180","REG BUCK","83.831","60.765"
"RV27","VRS0402SR55R101N","TopLayer","C0402","87.801","68.142","180","Multi-Layer Varistor","87.801","68.142"
"R73","1K","TopLayer","R0402","6.275","50.311","360","RES SMD 1K OHM 1% 1/16W 0402","6.274","50.311"
"R71","10K","TopLayer","R0402","18.313","60.857","270","RES SMD 10K OHM 1% 1/16W 0402","18.313","60.858"
"R70","10K","TopLayer","R0402","16.740","55.245","360","RES SMD 10K OHM 1% 1/16W 0402","16.739","55.245"
"R69","1K","TopLayer","R0402","87.826","67.202","180","RES SMD 1K OHM 1% 1/16W 0402","87.827","67.202"
"R68","10K","TopLayer","R0402","87.828","69.082","360","RES SMD 10K OHM 1% 1/16W 0402","87.827","69.082"
"R66","100K","TopLayer","R0402","75.989","40.253","360","RES 100K OHM 1% 1/16W 0402","75.988","40.253"
"R65","4.7k","TopLayer","R0402","19.836","62.357","180","RES SMD 4.7K OHM 1% 1/16W 0402","19.837","62.357"
"R64","2k37","TopLayer","R0402","19.836","61.316","180","RES SMD 2.37K OHM 1% 1/16W 0402","19.837","61.316"
"R63","2k37","TopLayer","R0402","19.839","60.249","360","RES SMD 2.37K OHM 1% 1/16W 0402","19.837","60.249"
"J19","HDR14","TopLayer","HDR2X7_SMT_BOT_ENTRY","30.099","58.369","360","CONN RCPT DUAL ENTRY 14POS .100"","30.099","58.369"
"D37","BAT54","TopLayer","SOD523_IPC","19.482","58.217","360","Diode Schottky 30V 100mA Surface Mount SOD-523","19.482","58.217"
"D36","BAT54","TopLayer","SOD523_IPC","19.177","56.718","180","Diode Schottky 30V 100mA Surface Mount SOD-523","19.177","56.718"
"C77","100nF","TopLayer","C0402","19.837","59.284","180","CAP CER 0402 100nF 16V 10% X7R","19.837","59.284"
"J1","2-1437667-9","TopLayer","CON-Barrier-6-8.26mm","92.780","35.503","90","CONN BARRIER STRIP 6CIRC 0.325"","96.844","35.503"
"U1","Atmega32u2","TopLayer","QFN32_050050","20.206","43.840","90","Atmega32u2","20.212","43.834"
"U7","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","53.969","15.743","0","IC STEPPER MOTOR DVR SPI 36QFN","53.969","15.743"
"U6","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","29.483","15.743","0","IC STEPPER MOTOR DVR SPI 36QFN","29.483","15.743"
"U5","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","18.053","15.743","0","IC STEPPER MOTOR DVR SPI 36QFN","18.053","15.743"
"U4","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","6.690","16.657","0","IC STEPPER MOTOR DVR SPI 36QFN","6.690","16.657"
"FB5","120R","TopLayer","FB0603","15.818","38.983","360","FERRITE BEAD 120 OHM 0603 1LN","15.818","38.983"
"C74","100nF","TopLayer","C0402","16.017","40.151","180","CAP CER 0402 100nF 16V 10% X7R","16.021","40.151"
"R76","100R","TopLayer","R0402","28.016","51.665","90","RES SMD 100 OHM 1% 1/16W 0402","28.016","51.664"
"R75","100R","TopLayer","R0402","26.975","51.665","90","RES SMD 100 OHM 1% 1/16W 0402","26.975","51.664"
"R74","100R","TopLayer","R0402","23.343","52.071","90","RES SMD 100 OHM 1% 1/16W 0402","23.343","52.070"
"R67","100R","TopLayer","R0402","54.732","51.556","360","RES SMD 100 OHM 1% 1/16W 0402","54.731","51.556"
"R60","100R","TopLayer","R0402","31.472","53.162","360","RES SMD 100 OHM 1% 1/16W 0402","31.471","53.162"
"R59","100R","TopLayer","R0402","30.675","50.057","180","RES SMD 100 OHM 1% 1/16W 0402","30.677","50.057"
"R55","100R","TopLayer","R0402","32.666","50.038","360","RES SMD 100 OHM 1% 1/16W 0402","32.664","50.038"
"R53","100R","TopLayer","R0402","39.038","52.908","360","RES SMD 100 OHM 1% 1/16W 0402","39.037","52.908"
"J15","Molex 0705430003","TopLayer","4POL254","32.562","66.000","180","Molex 4 Pin Clip Connector","32.562","66.000"
