Altium Designer Pick and Place Locations
C:\Users\Aaron\Documents\mini_Rambo\Mini-Rambo\board\Project Outputs for Einsy_Rambo_0.3a\Einsy Rambo_projectVersion.txt

========================================================================================================================
File Design Information:

Date:       28/07/17
Time:       14:55
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment                            Layer    Footprint                   Center-X(mm) Center-Y(mm) Rotation Description                                                                Ref-X(mm) Ref-Y(mm) 
C122       100nF                              TopLayer C0402                       28.2384      69.5516      360      "CAP CER 0402 100nF 16V 10% X7R"                                           28.2384   69.5516   
C120       100nF                              TopLayer C0402                       14.0652      55.3530      360      "CAP CER 0402 100nF 16V 10% X7R"                                           14.0652   55.3530   
C81        4.7nF                              TopLayer C0402                       31.4388      48.6854      180      "CAP CER 0402 4.7nF 25V 10% X7R"                                           31.4388   48.6854   
FB21       120R                               TopLayer FB0603                      31.3880      49.7014      360      "FERRITE BEAD 120 OHM 0603 1LN"                                            31.3880   49.7014   
R59        2k37                               TopLayer R0402                       81.0006      40.5625      270      "RES SMD 2.37K OHM 1% 1/16W 0402"                                          81.0006   40.5638   
R55        10K                                TopLayer R0402                       82.0420      40.5625      270      "RES SMD 10K OHM 1% 1/16W 0402"                                            82.0420   40.5638   
R53        2k37                               TopLayer R0402                       75.7123      40.7352      360      "RES SMD 2.37K OHM 1% 1/16W 0402"                                          75.7110   40.7352   
C79        100nF                              TopLayer C0402                       78.7844      39.9478      180      "CAP CER 0402 100nF 16V 10% X7R"                                           78.7844   39.9478   
C121       100nF                              TopLayer C0402                       75.8126      41.6496      360      "CAP CER 0402 100nF 16V 10% X7R"                                           75.8126   41.6496   
C56        100nF                              TopLayer C0402                       55.6450      40.5320      180      "CAP CER 0402 100nF 16V 10% X7R"                                           55.6450   40.5320   
RV9        120R                               TopLayer R0402                       53.1825      38.9318      360      "FERRITE BEAD 120 OHM 0402 1LN"                                            53.1812   38.9318   
R81        2k37                               TopLayer R0402                       29.7865      45.9422      180      "RES SMD 2.37K OHM 1% 1/16W 0402"                                          29.7878   45.9422   
R80        1.8K                               TopLayer R0402                       32.1741      45.9422      180      "RES SMD 1.8K OHM 1% 1/16W 0402"                                           32.1754   45.9422   
R66        10K                                TopLayer R0402                       75.7123      39.7446      360      "RES SMD 10K OHM 1% 1/16W 0402"                                            75.7110   39.7446   
U3         LM25011                            TopLayer VSSOP10                     83.8310      60.7650      180      "REG BUCK"                                                                 83.8310   60.7650   
RV27       VRS0402SR55R101N                   TopLayer C0402                       87.8014      68.1418      180      "Multi-Layer Varistor"                                                     87.8014   68.1418   
R73        1K                                 TopLayer R0402                       6.2751       50.3110      360      "RES SMD 1K OHM 1% 1/16W 0402"                                             6.2738    50.3110   
R71        10K                                TopLayer R0402                       18.3134      60.8571      270      "RES SMD 10K OHM 1% 1/16W 0402"                                            18.3134   60.8584   
R70        10K                                TopLayer R0402                       16.7399      55.2450      360      "RES SMD 10K OHM 1% 1/16W 0402"                                            16.7386   55.2450   
R69        1K                                 TopLayer R0402                       87.8255      67.2020      180      "RES SMD 1K OHM 1% 1/16W 0402"                                             87.8268   67.2020   
R68        10K                                TopLayer R0402                       87.8281      69.0816      360      "RES SMD 10K OHM 1% 1/16W 0402"                                            87.8268   69.0816   
R65        4.7k                               TopLayer R0402                       19.8361      62.3570      180      "RES SMD 4.7K OHM 1% 1/16W 0402"                                           19.8374   62.3570   
R64        2k37                               TopLayer R0402                       19.8361      61.3156      180      "RES SMD 2.37K OHM 1% 1/16W 0402"                                          19.8374   61.3156   
R63        2k37                               TopLayer R0402                       19.8387      60.2488      360      "RES SMD 2.37K OHM 1% 1/16W 0402"                                          19.8374   60.2488   
J19        HDR14                              TopLayer HDR2X7_SMT_BOT_ENTRY        30.0990      58.3692      360      "CONN RCPT DUAL ENTRY 14POS .100""                                         30.0990   58.3692   
D37        BAT54                              TopLayer SOD523_IPC                  19.4818      58.2168      360      "Diode Schottky 30V 100mA Surface Mount SOD-523"                           19.4818   58.2168   
D36        BAT54                              TopLayer SOD523_IPC                  19.1770      56.7182      180      "Diode Schottky 30V 100mA Surface Mount SOD-523"                           19.1770   56.7182   
C77        100nF                              TopLayer C0402                       19.8374      59.2836      180      "CAP CER 0402 100nF 16V 10% X7R"                                           19.8374   59.2836   
J1         2-1437667-9                        TopLayer CON-Barrier-6-8.26mm        92.7798      35.5028      90       "CONN BARRIER STRIP 6CIRC 0.325""                                          96.8438   35.5028   
U1         Atmega32u2                         TopLayer QFN32_050050                20.2055      43.8405      90       Atmega32u2                                                                 20.2120   43.8340   
U7         TMC2130-LA                         TopLayer QFN36-50P500X600X900_HS-37N 53.9686      15.7430      0        "IC STEPPER MOTOR DVR SPI 36QFN"                                           53.9686   15.7430   
U6         TMC2130-LA                         TopLayer QFN36-50P500X600X900_HS-37N 29.4830      15.7430      0        "IC STEPPER MOTOR DVR SPI 36QFN"                                           29.4830   15.7430   
U5         TMC2130-LA                         TopLayer QFN36-50P500X600X900_HS-37N 18.0530      15.7430      0        "IC STEPPER MOTOR DVR SPI 36QFN"                                           18.0530   15.7430   
U4         TMC2130-LA                         TopLayer QFN36-50P500X600X900_HS-37N 6.6896       16.6574      0        "IC STEPPER MOTOR DVR SPI 36QFN"                                           6.6896    16.6574   
FB5        120R                               TopLayer FB0603                      15.8178      38.9826      360      "FERRITE BEAD 120 OHM 0603 1LN"                                            15.8178   38.9826   
C74        100nF                              TopLayer C0402                       16.0172      40.1510      180      "CAP CER 0402 100nF 16V 10% X7R"                                           16.0210   40.1510   
R76        100R                               TopLayer R0402                       28.0162      51.6649      90       "RES SMD 100 OHM 1% 1/16W 0402"                                            28.0162   51.6636   
R75        100R                               TopLayer R0402                       26.9748      51.6649      90       "RES SMD 100 OHM 1% 1/16W 0402"                                            26.9748   51.6636   
R74        100R                               TopLayer R0402                       23.3426      52.0713      90       "RES SMD 100 OHM 1% 1/16W 0402"                                            23.3426   52.0700   
R67        100R                               TopLayer R0402                       54.7319      51.5556      360      "RES SMD 100 OHM 1% 1/16W 0402"                                            54.7306   51.5556   
J15        "Molex 0705430003"                 TopLayer 4POL254                     32.5616      66.0000      180      "Molex 4 Pin Clip Connector"                                               32.5616   66.0000   
J14        "CONN 2PIN VERT 0.1" SHRD LOCKING" TopLayer 70543-02                    21.9456      65.9892      180      "Connector 2pos"                                                           21.9456   65.9892   
J13        "CONN 2PIN VERT 0.1" SHRD LOCKING" TopLayer 70543-02                    13.7922      65.9892      180      "Connector 2pos"                                                           13.7922   65.9892   
J12        "Molex 0705430003"                 TopLayer 4POL254                     55.0120      3.0072       180      "Molex 4 Pin Clip Connector"                                               55.0120   3.0072    
J11        "Molex 0705430003"                 TopLayer 4POL254                     42.0020      2.9972       180      "Molex 4 Pin Clip Connector"                                               42.0020   2.9972    
J10        "Molex 0705430003"                 TopLayer 4POL254                     42.0020      9.9972       180      "Molex 4 Pin Clip Connector"                                               42.0020   9.9972    
J9         "Molex 0705430003"                 TopLayer 4POL254                     29.0020      2.9972       180      "Molex 4 Pin Clip Connector"                                               29.0020   2.9972    
