Designator	Footprint	Mid	X	Mid	Y	Ref	X	Ref	Y	Pad	X	Pad	Y	TB	Rotation	Comment
C1	C0402	2070.716	2744.095	2070.866	2744.095	2089.566	2744.095	T	180	22pF						
C10	C0402	2221.457	2419.441	2221.457	2419.291	2221.457	2400.591	T	90	100nF						
C11	C0402	1614.85	2550	1615	2550	1633.7	2550	T	180	100nF						
C12	C0402	1639.614	2307.087	1639.764	2307.087	1658.464	2307.087	T	180	22pF						
C13	C0402	1571.85	2377.803	1571.85	2377.953	1571.85	2396.653	T	270	22pF						
C14	C0402	1771.504	2575.787	1771.653	2575.787	1790.353	2575.787	T	180	100nF						
C15	C0402	1614.85	2595	1615	2595	1633.7	2595	T	180	100nF						
C16	C0402	1620	2790.15	1620	2790	1620	2771.3	T	90	1uF						
C17	C0603	3031.496	1866.142	3031.496	1866.142	3031.496	1839.37	T	90	100nF						
C18	C0603	2153.543	1866.142	2153.543	1866.142	2153.543	1839.37	T	90	100nF						
C19	C0402	2660.583	1884.843	2660.433	1884.843	2641.733	1884.843	T	360	1uF						
C2	C0805	1637.496	2209.646	1637.795	2209.646	1675.197	2209.646	T	180	10uF						
C20	C0402	2660.583	1721.457	2660.433	1721.457	2641.733	1721.457	T	360	1uF						
C21	C0402	2582.527	1885.827	2582.677	1885.827	2601.377	1885.827	T	180	1uF						
C22	C0402	2582.527	1722.441	2582.677	1722.441	2601.377	1722.441	T	180	1uF						
C23	C0603	1716.535	1866.142	1716.535	1866.142	1716.535	1839.37	T	90	100nF						
C24	C0603	1263.78	1866.142	1263.78	1866.142	1263.78	1839.37	T	90	100nF						
C25	C0603	3519.685	2059.055	3519.685	2059.055	3519.685	2032.283	T	90	100nF						
C26	C0402	3031.646	2759.843	3031.496	2759.843	3012.796	2759.843	T	360	100nF						
C27	C0603	1412.059	1865.326	1412.059	1865.326	1412.059	1892.098	T	270	100nF						
C28	C0603	1484.252	1743.11	1484.252	1743.11	1484.252	1716.339	T	90	100nF						
C29	C0603	1463.583	1617.126	1463.583	1617.126	1463.583	1643.898	T	270	100nF						
C3	C0603	3444.882	1236.22	3444.882	1236.22	3444.882	1262.992	T	270	100nF						
C31	C0603	1349.416	1865.326	1349.416	1865.326	1349.416	1892.098	T	270	220nF						
C32	C0603	1854.331	1866.142	1854.331	1866.142	1854.331	1892.913	T	270	100nF						
C33	C0603	1929.134	1743.11	1929.134	1743.11	1929.134	1716.339	T	90	100nF						
C34	C0603	1909.449	1618.11	1909.449	1618.11	1909.449	1644.882	T	270	100nF						
C36	C0603	1799.213	1866.142	1799.213	1866.142	1799.213	1892.913	T	270	220nF						
C37	C0603	2298.228	1865.158	2298.228	1865.158	2298.228	1891.929	T	270	100nF						
C38	C0603	2362.205	1743.11	2362.205	1743.11	2362.205	1716.339	T	90	100nF						
C39	C0603	2393.701	1645.669	2393.701	1645.669	2366.929	1645.669	T	360	100nF						
C4	C0402	3047.394	2496.063	3047.244	2496.063	3028.544	2496.063	T	360	100nF						
C41	C0603	2241.142	1865.158	2241.142	1865.158	2241.142	1891.929	T	270	220nF						
C42	C0603	3172.244	1865.326	3172.244	1865.326	3172.244	1892.098	T	270	100nF						
C43	C0603	3261.811	1743.11	3261.811	1743.11	3261.811	1716.339	T	90	100nF						
C44	C0603	3261.811	1617.126	3261.811	1617.126	3261.811	1643.898	T	270	100nF						
C46	C0603	3115.157	1865.326	3115.157	1865.326	3115.157	1892.098	T	270	220nF						
C47	C0402	2507.724	1885.827	2507.874	1885.827	2526.574	1885.827	T	180	1uF						
C48	C0402	2504.771	1722.441	2504.921	1722.441	2523.621	1722.441	T	180	1uF						
C5	C12,5-5	4114.173	1291.339	4114.173	1291.339	4114.173	1389.764	T	270	470uF						
C52	C0402	2681.102	2945.032	2681.102	2944.882	2681.102	2926.182	T	90	100nF						
C53	C3,5-8	4574.803	1212.598	4574.803	1212.598	4574.803	1282.598	T	270	100uF						
C54	C3,5-8	3769.685	2076.772	3769.685	2076.772	3839.685	2076.772	T	180	100uF						
C56	C0402	3047.394	2582.677	3047.244	2582.677	3028.544	2582.677	T	360	100nF						
C57	C0402	2129.771	2487.205	2129.921	2487.205	2148.621	2487.205	T	180	22pF						
C58	C0402	2056.102	2557.921	2056.102	2558.071	2056.102	2576.771	T	270	22pF						
C59	C0402	3047.394	2669.291	3047.244	2669.291	3028.544	2669.291	T	360	100nF						
C6	C0402	3031.646	2710.63	3031.496	2710.63	3012.796	2710.63	T	360	100nF						
C60	C0603	4421.26	1374.016	4421.26	1374.016	4448.032	1374.016	T	180	100nF						
C62	C0603	3889.764	2590.551	3889.764	2590.551	3916.535	2590.551	T	180	100nF						
C63	C0402	1436.496	2830.15	1436.496	2830	1436.496	2811.3	T	90	4.7nF						
C67	C0402	1833.661	2221.607	1833.661	2221.457	1833.661	2202.757	T	90	100nF						
C68	C0402	2151.575	2228.496	2151.575	2228.346	2151.575	2209.646	T	90	100nF						
C69	C0402	2150.59	2399.456	2150.59	2399.606	2150.59	2418.306	T	270	100nF						
C7	C0402	2586.764	2137.795	2586.614	2137.795	2567.914	2137.795	T	0	100nF						
C70	C0402	1832.677	2393.551	1832.677	2393.701	1832.677	2412.401	T	270	100nF						
C71	C0603	1107.244	1616.26	1107.244	1616.26	1107.244	1643.032	T	270	100nF						
C72	C0603	1562.992	1617.126	1562.992	1617.126	1562.992	1643.898	T	270	100nF						
C73	C0603	2003.937	1618.11	2003.937	1618.11	2003.937	1644.882	T	270	100nF						
C74	C0603	2846.457	1637.795	2846.457	1637.795	2873.228	1637.795	T	180	100nF						
