Comment	Description	Designator	Footprint	LibRef		
						
22pF	CAP CER 0402 22pF 50V 5% C0G	C1	C0402	04025A220JAT2A	0402C	D0802
10uF	CAP CER 0805 10uF 10V 10% X5R	C2	C0805	C0805C106K8PACTU	0805C-0.8	E0804
100nF	CAP CER 0603 100nF 50V 10% X7R	C3	C0603	C0603C104K5RACTU	0603C	E0804
100nF	CAP CER 0402 100nF 16V 10% X7R	C4	C0402	GRM155R71C104KA88D	0402C	D0802
100nF	CAP CER 0402 100nF 16V 10% X7R	C6	C0402	GRM155R71C104KA88D	0402C	D0802
100nF	CAP CER 0402 100nF 16V 10% X7R	C7	C0402	GRM155R71C104KA88D	0402C	D0802
100nF	CAP CER 0402 100nF 16V 10% X7R	C8	C0402	GRM155R71C104KA88D	0402C	D0802
100nF	CAP CER 0402 100nF 16V 10% X7R	C9	C0402	GRM155R71C104KA88D	0402C	D0802
100nF	CAP CER 0402 100nF 16V 10% X7R	C10	C0402	GRM155R71C104KA88D	0402C	D0802
100nF	CAP CER 0402 100nF 16V 10% X7R	C11	C0402	GRM155R71C104KA88D	0402C	D0802
22pF	CAP CER 0402 22pF 50V 5% C0G	C12	C0402	04025A220JAT2A	0402C	D0802
22pF	CAP CER 0402 22pF 50V 5% C0G	C13	C0402	04025A220JAT2A	0402C	D0802
100nF	CAP CER 0402 100nF 16V 10% X7R	C14	C0402	GRM155R71C104KA88D	0402C	D0802
100nF	CAP CER 0402 100nF 16V 10% X7R	C15	C0402	GRM155R71C104KA88D	0402C	D0802
1uF	CAP CER 0402 1uF 6.3V 10% X5R	C16	C0402	GRM155R60J105KE19D	0402C	D0802
100nF	CAP CER 0603 100nF 50V 10% X7R	C17	C0603	C0603C104K5RACTU	0603C	E0804
100nF	CAP CER 0603 100nF 50V 10% X7R	C18	C0603	C0603C104K5RACTU	0603C	E0804
1uF	CAP CER 0402 1uF 6.3V 10% X5R	C19	C0402	GRM155R60J105KE19D	0402C	D0802
1uF	CAP CER 0402 1uF 6.3V 10% X5R	C20	C0402	GRM155R60J105KE19D	0402C	D0802
1uF	CAP CER 0402 1uF 6.3V 10% X5R	C21	C0402	GRM155R60J105KE19D	0402C	D0802
1uF	CAP CER 0402 1uF 6.3V 10% X5R	C22	C0402	GRM155R60J105KE19D	0402C	D0802
100nF	CAP CER 0603 100nF 50V 10% X7R	C23	C0603	C0603C104K5RACTU	0603C	E0804
100nF	CAP CER 0603 100nF 50V 10% X7R	C24	C0603	C0603C104K5RACTU	0603C	E0804
100nF	CAP CER 0603 100nF 50V 10% X7R	C25	C0603	C0603C104K5RACTU	0603C	E0804
100nF	CAP CER 0402 100nF 16V 10% X7R	C26	C0402	GRM155R71C104KA88D	0402C	D0802
100nF	CAP CER 0603 100nF 50V 10% X7R	C27	C0603	C0603C104K5RACTU	0603C	E0804
100nF	CAP CER 0603 100nF 50V 10% X7R	C28	C0603	C0603C104K5RACTU	0603C	E0804
100nF	CAP CER 0603 100nF 50V 10% X7R	C29	C0603	C0603C104K5RACTU	0603C	E0804
220nF	CAP CER 0603 220nF 10V 10% X7R	C31	C0603	CC0603KRX7R7BB224	0603C	P0804
100nF	CAP CER 0603 100nF 50V 10% X7R	C32	C0603	C0603C104K5RACTU	0603C	E0804
100nF	CAP CER 0603 100nF 50V 10% X7R	C33	C0603	C0603C104K5RACTU	0603C	E0804
100nF	CAP CER 0603 100nF 50V 10% X7R	C34	C0603	C0603C104K5RACTU	0603C	E0804
