Comment,Description,Designator,Footprint,LibRef,Quantity

"PCB","PCB","","","PCB","1"
"22pF","CAP CER 0402 22pF 50V 5% C0G","C1","C0402","04025A220JAT2A","1"
"10uF","CAP CER 0805 10uF 10V 10% X5R","C2","C0805","C0805C106K8PACTU","1"
"100nF","CAP CER 0603 100nF 50V 10% X7R","C3","C0603","C0603C104K5RACTU","1"
"100nF","CAP CER 0402 100nF 16V 10% X7R","C4","C0402","GRM155R71C104KA88D","1"
"470uF","CAP ALU 470uF 50V 20%","C5","C12,5-5","UPW1H471MHD1TO","1"
"100nF","CAP CER 0402 100nF 16V 10% X7R","C6","C0402","GRM155R71C104KA88D","1"
"100nF","CAP CER 0402 100nF 16V 10% X7R","C7","C0402","GRM155R71C104KA88D","1"
"100nF","CAP CER 0402 100nF 16V 10% X7R","C8","C0402","GRM155R71C104KA88D","1"
"100nF","CAP CER 0402 100nF 16V 10% X7R","C9","C0402","GRM155R71C104KA88D","1"
"100nF","CAP CER 0402 100nF 16V 10% X7R","C10","C0402","GRM155R71C104KA88D","1"
"100nF","CAP CER 0402 100nF 16V 10% X7R","C11","C0402","GRM155R71C104KA88D","1"
"22pF","CAP CER 0402 22pF 50V 5% C0G","C12","C0402","04025A220JAT2A","1"
"22pF","CAP CER 0402 22pF 50V 5% C0G","C13","C0402","04025A220JAT2A","1"
"100nF","CAP CER 0402 100nF 16V 10% X7R","C14","C0402","GRM155R71C104KA88D","1"
"100nF","CAP CER 0402 100nF 16V 10% X7R","C15","C0402","GRM155R71C104KA88D","1"
"1uF","CAP CER 0402 1uF 6.3V 10% X5R","C16","C0402","GRM155R60J105KE19D","1"
"100nF","CAP CER 0603 100nF 50V 10% X7R","C17","C0603","C0603C104K5RACTU","1"
"100nF","CAP CER 0603 100nF 50V 10% X7R","C18","C0603","C0603C104K5RACTU","1"
"1uF","CAP CER 0402 1uF 6.3V 10% X5R","C19","C0402","GRM155R60J105KE19D","1"
"1uF","CAP CER 0402 1uF 6.3V 10% X5R","C20","C0402","GRM155R60J105KE19D","1"
"1uF","CAP CER 0402 1uF 6.3V 10% X5R","C21","C0402","GRM155R60J105KE19D","1"
"1uF","CAP CER 0402 1uF 6.3V 10% X5R","C22","C0402","GRM155R60J105KE19D","1"
"100nF","CAP CER 0603 100nF 50V 10% X7R","C23","C0603","C0603C104K5RACTU","1"
"100nF","CAP CER 0603 100nF 50V 10% X7R","C24","C0603","C0603C104K5RACTU","1"
