Designator,Manufacturer 1,Manufacturer Part Number 1,Description,Comment,Quantity,LibRef

"","","","PCB","PCB","1","PCB"
"C1, C12, C13, C57, C58","AVX","04025A220JAT2A","CAP CER 0402 22pF 50V 5% C0G","22pF","5","04025A220JAT2A"
"C2, C45","Kemet","C0805C106K8PACTU","CAP CER 0805 10uF 10V 10% X5R","10uF","2","C0805C106K8PACTU"
"C3, C17, C18, C23, C24, C25, C27, C28, C29, C32, C33, C34, C37, C38, C39, C40, C42, C43, C44, C60, C62, C71, C72, C73, C74","Kemet","C0603C104K5RACTU","CAP CER 0603 100nF 50V 10% X7R","100nF","25","C0603C104K5RACTU"
"C4, C6, C7, C8, C9, C10, C11, C14, C15, C26, C52, C56, C59, C67, C68, C69, C70","Kemet","GRM155R71C104KA88D","CAP CER 0402 100nF 16V 10% X7R","100nF","17","GRM155R71C104KA88D"
"C5","Nichicon","UPW1H471MHD1TO","CAP ALU 470uF 50V 20%","470uF","1","UPW1H471MHD1TO"
"C16, C19, C20, C21, C22, C47, C48, C49","Murata","GRM155R60J105KE19D","CAP CER 0402 1uF 6.3V 10% X5R","1uF","8","GRM155R60J105KE19D"
"C30","Kemet","C1206C475K5PACTU","CAP CER 1206 4.7uF 50V 10% X5R","4.7uF","1","C1206C475K5PACTU"
"C31, C36, C41, C46","Yageo","CC0603KRX7R7BB224","CAP CER 0603 220nF 10V 10% X7R","220nF","4","CC0603KRX7R7BB224"
"C35","Murata","GRM21BR71H105KA12L","CAP CER 0805 1uF 50V 10% X7R","1uF","1","GRM21BR71H105KA12L"
"C53, C54","Nichicon","UVZ1H101MPD1TD","CAP ALU 100uF 50V 20% 105C","100uF","2","UVZ1H101MPD1TD"
"C63","Yageo","CC0402KRX7R8BB472","CAP CER 0402 4.7nF 25V 10% X7R","4.7nF","1","CC0402KRX7R8BB472"
"D1, D3, D4, D5, D11, D13, D14, D15","Fairchild","1N4148WT","DIODE SOD523","1N4148WT","8","1N4148WT"
"D2, D8","Littelfuse","SMAJ30A","DIODE TVS 30V SMA","SMAJ30A","2","SMAJ30A"
"D6, D9, D10","Micro","SK310A","DIODE Schottky 3A SMA","SK310A-TP","3","SK310A"
"D7","Diodes Inc","S3A-13-F","DIODE DO-214AB","S3A-13-F","1","S3A-13-F"
"D12","ON Semiconductor","SZMM3Z4V7T1G","Z-Diode","SZMM3Z4V7T1G","1","ZENER-DIODE"
