Comment	Description	Designator	Footprint	LibRef

"0.1r"	"RES 1206 0.1r 0.5w 1%"	"R10"	"R1206"	"CRM1206-FX-R100ELF"
"0.1r"	"RES 1206 0.1r 0.5w 1%"	"R14"	"R1206"	"CRM1206-FX-R100ELF"
"0.1r"	"RES 1206 0.1r 0.5w 1%"	"R15"	"R1206"	"CRM1206-FX-R100ELF"
"0.1r"	"RES 1206 0.1r 0.5w 1%"	"R19"	"R1206"	"CRM1206-FX-R100ELF"
"0.1r"	"RES 1206 0.1r 0.5w 1%"	"R20"	"R1206"	"CRM1206-FX-R100ELF"
"0.1r"	"RES 1206 0.1r 0.5w 1%"	"R4"	"R1206"	"CRM1206-FX-R100ELF"
"0.1r"	"RES 1206 0.1r 0.5w 1%"	"R7"	"R1206"	"CRM1206-FX-R100ELF"
"0.1r"	"RES 1206 0.1r 0.5w 1%"	"R8"	"R1206"	"CRM1206-FX-R100ELF"
"0.6r"	"RES 0.06 OHM 1W 1% 2512 SMD"	"R13"	"2512R-0.55"	"RL2512FK-070R06L"
"0395311004"	"PHOENIX"	"X10"	"MSTBV4"	"MSTBV4"
"0395311004"	"PHOENIX"	"X3"	"MSTBV4"	"MSTBV4"
"1.8K"	"RES 0603 1.8K 100mW 5%"	"R40"	"R0603"	"RC0603JR-071K8L"
"1.8K"	"RES 0603 1.8K 100mW 5%"	"R58"	"R0603"	"RC0603JR-071K8L"
"1.8K"	"RES 0603 1.8K 100mW 5%"	"R69"	"R0603"	"RC0603JR-071K8L"
"1.8K"	"RES 0603 1.8K 100mW 5%"	"R70"	"R0603"	"RC0603JR-071K8L"
"100K"	"RES 100K OHM 1/10W 1% 0603 SMD"	"R16"	"R0603"	"RC0603FR-07100KL"
"100K"	"RES 100K OHM 1/10W 1% 0603 SMD"	"R21"	"R0603"	"RC0603FR-07100KL"
"100K"	"RES 100K OHM 1/10W 1% 0603 SMD"	"R43"	"R0603"	"RC0603FR-07100KL"
"100K"	"RES 100K OHM 1/10W 1% 0603 SMD"	"R57"	"R0603"	"RC0603FR-07100KL"
"100K"	"RES 100K OHM 1/10W 1% 0603 SMD"	"R59"	"R0603"	"RC0603FR-07100KL"
"100K"	"RES 100K OHM 1/10W 1% 0603 SMD"	"R60"	"R0603"	"RC0603FR-07100KL"
"100K"	"RES 100K OHM 1/10W 1% 0603 SMD"	"R61"	"R0603"	"RC0603FR-07100KL"
