Altium Designer Pick and Place Locations
C:\Users\Aaron\Documents\mini_Rambo\Mini-Rambo\board\Project Outputs for Mini-Rambo_r2.2\Einy_2.2a.csv

========================================================================================================================
File Design Information:

Date:       08/03/17
Time:       12:20
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J1","2-1437667-9","TopLayer","CON-Barrier-6-8.26mm","92.786","35.509","90",""
"U1","Atmega32u2","TopLayer","QFN32_050050","20.212","43.847","90","Atmega32u2"
"U3","LM25011MY/NOPB","TopLayer","VSSOP10","81.551","60.771","180","REG BUCK"
"U7","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","53.975","15.749","0",""
"U6","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","29.489","15.749","0",""
"U5","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","18.059","15.749","0",""
"U4","TMC2130-LA","TopLayer","QFN36-50P500X600X900_HS-37N","6.696","16.664","0",""
"FB5","120R","TopLayer","FB0603","15.824","38.989","360","FERRITE BEAD 120 OHM 0603 1LN"
"C74","100nF","TopLayer","C0402","16.024","40.157","180","CAP CER 0402 100nF 16V 10% X7R"
"R76","100R","TopLayer","R0402","24.154","55.296","180","RES SMD 100 OHM 1% 1/16W 0402"
"R75","100R","TopLayer","R0402","22.173","56.337","180","RES SMD 100 OHM 1% 1/16W 0402"
"R74","100R","TopLayer","R0402","18.210","55.956","180","RES SMD 100 OHM 1% 1/16W 0402"
"R67","100R","TopLayer","R0402","54.738","51.562","360","RES SMD 100 OHM 1% 1/16W 0402"
"R60","100R","TopLayer","R0402","32.081","55.220","360","RES SMD 100 OHM 1% 1/16W 0402"
"R59","100R","TopLayer","R0402","30.098","55.245","180","RES SMD 100 OHM 1% 1/16W 0402"
"R55","100R","TopLayer","R0402","34.060","55.245","180","RES SMD 100 OHM 1% 1/16W 0402"
