Altium Designer Pick and Place Locations
C:\Users\Johnny\Documents\Projects\Einsy-Rambo\board\Project Outputs\Assembly\Pick and Place_Einsy Rambo_1.2b.csv

========================================================================================================================
File Design Information:

Date:       23/07/19
Time:       09:28
Revision:   8983dc9707f56157f6ff75689e81a834b75d78c6
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Ref-X(mm)","Ref-Y(mm)"
"J19","HDR14","TopLayer","HDR2X7_SMT_BOT_ENTRY","7.6200","1.2700","360","CONN RCPT DUAL ENTRY 14POS .100"","7.6200","1.2700"
"C19","100nF","TopLayer","C0402","25.6600","-27.4050","270","CAP CER 0402 100nF 16V 10% X7R","25.6600","-27.4050"
"FB58","120R","TopLayer","R0402","5.0913","12.4500","360","FERRITE BEAD 120 OHM 0402 1LN","5.0900","12.4500"
"FB57","120R","TopLayer","R0402","8.4113","12.4500","360","FERRITE BEAD 120 OHM 0402 1LN","8.4100","12.4500"
"FB56","120R","TopLayer","R0402","65.3387","12.0000","180","FERRITE BEAD 120 OHM 0402 1LN","65.3400","12.0000"
"FB55","120R","TopLayer","R0402","17.1500","0.3913","90","FERRITE BEAD 120 OHM 0402 1LN","17.1500","0.3900"
"FB54","120R","TopLayer","R0402","46.4487","-7.2200","180","FERRITE BEAD 120 OHM 0402 1LN","46.4500","-7.2200"
"FB53","120R","TopLayer","R0402","17.1300","-1.6713","270","FERRITE BEAD 120 OHM 0402 1LN","17.1300","-1.6700"
"FB52","120R","TopLayer","R0402","17.1300","2.3413","90","FERRITE BEAD 120 OHM 0402 1LN","17.1300","2.3400"
"FB51","120R","TopLayer","R0402","44.5319","-7.2200","180","FERRITE BEAD 120 OHM 0402 1LN","44.5332","-7.2200"
"FB50","120R","TopLayer","R0402","38.6986","-7.2401","360","FERRITE BEAD 120 OHM 0402 1LN","38.6973","-7.2401"
"FB49","120R","TopLayer","R0402","31.9687","-5.9200","180","FERRITE BEAD 120 OHM 0402 1LN","31.9700","-5.9200"
"FB48","120R","TopLayer","R0402","9.2313","-21.3800","360","FERRITE BEAD 120 OHM 0402 1LN","9.2300","-21.3800"
"FB47","120R","TopLayer","R0402","9.9751","-19.8613","270","FERRITE BEAD 120 OHM 0402 1LN","9.9751","-19.8600"
"FB46","120R","TopLayer","R0402","37.3713","-5.7200","360","FERRITE BEAD 120 OHM 0402 1LN","37.3700","-5.7200"
"FB45","120R","TopLayer","R0402","40.6387","-7.2200","180","FERRITE BEAD 120 OHM 0402 1LN","40.6400","-7.2200"
"FB44","120R","TopLayer","R0402","17.1900","8.1713","90","FERRITE BEAD 120 OHM 0402 1LN","17.1900","8.1700"
"FB43","120R","TopLayer","R0402","17.1700","12.1087","270","FERRITE BEAD 120 OHM 0402 1LN","17.1700","12.1100"
"FB42","120R","TopLayer","R0402","47.8987","-16.7044","180","FERRITE BEAD 120 OHM 0402 1LN","47.9000","-16.7044"
"FB41","120R","TopLayer","R0402","33.3600","-26.1787","90","FERRITE BEAD 120 OHM 0402 1LN","33.3600","-26.1800"
"FB40","120R","TopLayer","R0402","47.5850","-22.5413","270","FERRITE BEAD 120 OHM 0402 1LN","47.5850","-22.5400"
"FB39","120R","TopLayer","R0402","33.9438","-15.5913","270","FERRITE BEAD 120 OHM 0402 1LN","33.9438","-15.5900"
"FB38","120R","TopLayer","R0402","33.9300","-9.2723","270","FERRITE BEAD 120 OHM 0402 1LN","33.9300","-9.2710"
"U11","LDO 3.3V 250mA","TopLayer","XDFN4_1X1","17.4500","-37.8750","90","IC REG LINEAR 3.3V 250MA 4XDFN","17.4500","-37.8750"
"U12","SN74LVC125A","TopLayer","PVQFN14_3.5X3.5","21.4250","-36.0000","90","IC BUS BUFF TRI-ST QD 14VQFN","21.4250","-36.0000"
"U14","74AHCT1G125","TopLayer","SOTFL50P160X60-5L","18.7750","-32.8500","360","IC BUS BUFF TRI-ST N-INV  SOT-553","18.7750","-32.8500"
"U13","2Mb","TopLayer","USON8_2X3","19.8800","-39.1000","360","IC FLASH 2MBIT 104MHZ 8USON","20.1500","-39.3000"
"R83","10K","TopLayer","R0402","18.5750","-34.9263","270","RES SMD 10K OHM 1% 1/16W 0402","18.5750","-34.9250"
"C131","100nF","TopLayer","C0402","23.1250","-38.7250","360","CAP CER 0402 100nF 16V 10% X7R","23.1250","-38.7250"
"C130","100nF","TopLayer","C0402","17.9250","-39.5000","90","CAP CER 0402 100nF 16V 10% X7R","17.9250","-39.5000"
"C129","100nF","TopLayer","C0402","18.7750","-31.3500","360","CAP CER 0402 100nF 16V 10% X7R","18.7750","-31.3500"
"C128","1uF","TopLayer","C0402","15.8250","-38.0000","360","CAP CER 0402 1uF 6.3V 10% X5R","15.8250","-38.0000"
"C127","1uF","TopLayer","C0402","16.9000","-39.5000","90","CAP CER 0402 1uF 6.3V 10% X5R","16.9000","-39.5000"
"C126","1uF","TopLayer","C0402","15.8750","-39.5000","90","CAP CER 0402 1uF 6.3V 10% X5R","15.8750","-39.5000"
"R82","10K","TopLayer","R0402","17.1250","-3.6263","270","RES SMD 10K OHM 1% 1/16W 0402","17.1250","-3.6250"
"R79","1K","TopLayer","R0402","14.9263","-6.3250","360","RES SMD 1K OHM 1% 1/16W 0402","14.9250","-6.3250"
"Q3","MMBT3904","TopLayer","SOT523_SMALL","15.1750","-4.6250","180","TRANS NPN 60V 0.2A SOT523","15.1750","-4.6250"
"U9","74AHCT1G125","TopLayer","SOTFL50P160X60-5L","6.1000","-5.5750","270","IC BUS BUFF TRI-ST N-INV  SOT-553","6.1000","-5.5750"
"C125","100nF","TopLayer","C0402","6.8750","-7.6600","90","CAP CER 0402 100nF 16V 10% X7R","6.8750","-7.6600"
"FB23","120R","TopLayer","FB0603","48.2500","-19.3000","180","FERRITE BEAD 120 OHM 0603 1LN","48.2500","-19.3000"
"JP4","0R0","BottomLayer","R0805","-21.0058","-9.9568","90","RES 0.0 OHM 1/8W JUMP 0805 SMD","-21.0058","-9.9568"
"JP3","0R0","BottomLayer","R0805","-18.4150","-9.9568","90","RES 0.0 OHM 1/8W JUMP 0805 SMD","-18.4150","-9.9568"
"RT1","NTCG104LH104JT1","TopLayer","R0402","67.0052","-32.5869","90","Resistor","67.0052","-32.5882"
"R60","4.7k","TopLayer","R0402","65.0481","-32.0802","180","RES SMD 4.7K OHM 1% 1/16W 0402","65.0494","-32.0802"
"C124","100nF","TopLayer","C0402","47.6500","-20.7400","90","CAP CER 0402 100nF 16V 10% X7R","47.6500","-20.7400"
"C123","100nF","TopLayer","C0402","48.2346","-15.7480","180","CAP CER 0402 100nF 16V 10% X7R","48.2346","-15.7480"
"C122","100nF","TopLayer","C0402","2.9594","12.4524","360","CAP CER 0402 100nF 16V 10% X7R","2.9594","12.4524"
"C120","100nF","TopLayer","C0402","-8.4138","-1.7462","360","CAP CER 0402 100nF 16V 10% X7R","-8.4138","-1.7462"
"C81","4.7nF","TopLayer","C0402","8.9598","-8.3238","180","CAP CER 0402 4.7nF 25V 10% X7R","8.9598","-8.3238"
"FB21","120R","TopLayer","FB0603","8.9090","-7.3078","360","FERRITE BEAD 120 OHM 0603 1LN","8.9090","-7.3078"
"R59","2k37","TopLayer","R0402","58.5216","-16.5367","270","RES SMD 2.37K OHM 1% 1/16W 0402","58.5216","-16.5354"
"R55","10K","TopLayer","R0402","59.5630","-16.5367","270","RES SMD 10K OHM 1% 1/16W 0402","59.5630","-16.5354"
"R53","2k37","TopLayer","R0402","53.2841","-16.3640","360","RES SMD 2.37K OHM 1% 1/16W 0402","53.2828","-16.3640"
"C79","100nF","TopLayer","C0402","56.3000","-17.0500","180","CAP CER 0402 100nF 16V 10% X7R","56.3000","-17.0500"
"C121","100nF","TopLayer","C0402","53.5978","-15.4686","360","CAP CER 0402 100nF 16V 10% X7R","53.5940","-15.4686"
"C56","100nF","TopLayer","C0402","33.1162","-16.9500","180","CAP CER 0402 100nF 16V 10% X7R","33.1200","-16.9500"
"FB28","120R","TopLayer","R0402","30.7035","-18.1674","360","FERRITE BEAD 120 OHM 0402 1LN","30.7022","-18.1674"
"R81","2k37","TopLayer","R0402","9.6951","-11.1570","360","RES SMD 2.37K OHM 1% 1/16W 0402","9.6938","-11.1570"
"R80","1.8K","TopLayer","R0402","7.3075","-11.1570","360","RES SMD 1.8K OHM 1% 1/16W 0402","7.3062","-11.1570"
"R66","10K","TopLayer","R0402","53.2841","-17.3546","360","RES SMD 10K OHM 1% 1/16W 0402","53.2828","-17.3546"
"U3","LM25011MY/NOPB","TopLayer","VSSOP10_CLOSEDBOTVIAS","61.3520","3.6658","180","REG BUCK","61.3520","3.6658"
"RV27","VRS0402SR55R101N","TopLayer","C0402","65.3400","10.0100","180","Multi-Layer Varistor","65.3400","10.0100"
"R73","1K","TopLayer","R0402","-16.2039","-6.7882","360","RES SMD 1K OHM 1% 1/16W 0402","-16.2052","-6.7882"
"R71","10K","TopLayer","R0402","-4.1656","3.7579","270","RES SMD 10K OHM 1% 1/16W 0402","-4.1656","3.7592"
"R70","10K","TopLayer","R0402","-5.7391","-1.8542","360","RES SMD 10K OHM 1% 1/16W 0402","-5.7404","-1.8542"
"R69","1K","TopLayer","R0402","65.6600","8.6013","90","RES SMD 1K OHM 1% 1/16W 0402","65.6600","8.6000"
"R68","10K","TopLayer","R0402","65.3491","10.9524","360","RES SMD 10K OHM 1% 1/16W 0402","65.3478","10.9524"
"R65","4.7k","TopLayer","R0402","-2.6429","5.2578","180","RES SMD 4.7K OHM 1% 1/16W 0402","-2.6416","5.2578"
